route_code,stopcode,StopDescrE,StopLat,StopLng
3086,60282,THERMOPYLON,37.9806,23.7198824
3086,60283,PALAIA AGORA,37.9782368,23.7153596
3086,60284,FOTAERIO,37.9770141,23.7129391
3086,60285,KAMPA,37.9752581,23.7098717
3086,61108,PETROY RALLH,37.9743533,23.7084634
3086,60286,KOLYMBHTHRIO,37.9734673,23.7073284
3086,60287,YPOYRGEIO,37.9717484,23.7047621
3086,60288,ELOYLOY,37.9703366,23.7024566
3086,60289,ERGON,37.9693665,23.7002062
3086,450015,TAYROS,37.9674281,23.6964572
3086,450039,SFAGEIA,37.9660082,23.6945618
3086,450017,BIOXALKO,37.9638211,23.6922712
3086,450040,SXOLH KALON TEXNON,37.9623752,23.690786
3086,450018,YFANTHRIA,37.9609932,23.6896534
3086,320035,ZHLAKOY,37.9591461,23.6864624
3086,320036,NEA LAXANAGORA,37.9585004,23.6847695
3086,320038,MOSXATO,37.9573105,23.6808811
3086,320039,MOSXATO,37.9563564,23.6780395
3086,320040,PSYGEIA,37.9554597,23.6755341
3086,20045,GEFYRA,37.9547115,23.6731179
3086,20046,ION,37.9536568,23.6698102
3086,400107,APOLLON,37.9528295,23.6672756
3086,400108,ELAIS,37.951793,23.6641046
3086,400109,XROPEI,37.950648,23.6608432
3086,400110,KERANHS,37.9481376,23.656063
3086,400111,EYAGGELISTRIAS,37.9452008,23.6534704
3086,400508,EL. BENIZELOY,37.9445009,23.651482
3086,400084,DHMOTIKO,37.945223,23.6488153
3086,400004,PL. KORAH,37.9428013,23.6467214
2951,90014,DIASTAYROSH MELISSION,38.0534423,23.8109432
2951,90015,DIASTAYROSH AMAROYSIOY,38.0510157,23.8097087
2951,90016,KANATADIKA,38.0484137,23.8077711
2951,90017,HBH,38.0470258,23.807474
2951,90018,OTE,38.0455639,23.8064443
2951,90019,BLASTOY,38.0437703,23.804307
2951,90138,ATTIKH ODOS,38.0420731,23.8026135
2951,90020,IOANNIDOY,38.0397726,23.8012636
2951,90021,PARADEISOS,38.0370218,23.7985417
2951,90022,EKTHESIAKO KENTRO,38.0350145,23.7963651
2951,90089,OLYMPIAKO STADIO,38.0324057,23.7940478
2951,90024,ASTYNOMIA,38.0292382,23.7913442
2951,90025,YGEIA,38.026634,23.7894577
2951,750025,PERIPTERO,38.0207429,23.7887895
2951,750026,SERRON,38.0177927,23.7868942
2951,770027,KOLLEGIO,38.0149391,23.7841172
2951,770028,ARSAKEIO,38.0132511,23.7826754
2951,770029,1st AG. BARBARAS,38.0095411,23.7794292
2951,770030,FAROS,38.0061368,23.7762036
2951,770019,SKALAKIA,38.0031132,23.773912
2951,770020,NTALIA,38.001732,23.7727886
2951,770021,KATEXAKH,37.9997634,23.7708129
2951,60607,GHROKOMEIO,37.995774,23.7678869
2951,60608,ERYTHROS STAYROS,37.9924992,23.7663256
2951,60610,ZERBA,37.9897464,23.7643641
2951,60611,AMPELOKHPOI,37.9873891,23.7619005
2951,61040,PL. AMPELOKHPON,37.9854119,23.7602671
2951,60672,IPPOKRATEIO,37.9840931,23.7588024
2951,60673,PL. MABILH,37.9825706,23.7564327
2951,61043,NOSOK. ALEXANDRA,37.9809843,23.7547703
2951,60674,ILISIA,37.9785187,23.7521274
2951,60761,PINAKOTHIKH,37.9753541,23.7475817
2951,60779,ETHNIKO IDRYMA EREYNON,37.9734285,23.7448785
2951,60780,STADIO,37.9704718,23.7405282
2951,60858,AG. FOTEINH,37.9672095,23.7326387
2951,60860,XATZHXRHSTOY,37.9671106,23.7297566
2951,60806,ST. SYGGROY-FIX,37.964467,23.7264443
2951,60807,OLYMPIAKH,37.962626,23.7240855
2951,60808,GEFYRA,37.9609096,23.7218499
2951,240001,PANTEIOS,37.9588496,23.7190716
2951,240002,AG. SOSTHS,37.9562828,23.715776
2951,240003,EFESOY,37.9541476,23.7129988
2951,240004,KYANOYS STAYROS,37.9520638,23.7103466
2951,240005,STROFH N. SMYRNHS,37.9499964,23.7076729
4373,340081,STROFH N. SMYRNHS,37.9506901,23.7092155
4373,340082,KYANOYS STAYROS,37.9519003,23.7107592
4373,340083,EFESOY,37.953903,23.7132975
4373,60809,AG. SOSTHS,37.9561168,23.7161799
4373,60810,PANTEIOS,37.9589516,23.7198878
4373,60811,GEFYRA,37.9604249,23.721689
4373,60813,OLYMPIAKH,37.9623823,23.7241743
4373,60814,ST. SYGGROY-FIX,37.9645175,23.7268669
4373,60864,AG. PANTELEHMON,37.9656009,23.7307661
4373,60865,AG. FOTEINH,37.9669486,23.7328332
4373,60866,KOLYMBHTHRIO,37.9680308,23.7371669
4373,60725,STADIO,37.9704369,23.7410267
4373,60748,ETHNIKO IDRYMA EREYNON,37.9731246,23.7450331
4373,60760,PINAKOTHIKH,37.9755107,23.7485435
4373,60591,ILISIA,37.9784925,23.752729
4373,61024,NOSOK. ALEXANDRA,37.9805472,23.7548604
